ADDRESS,C01,Expenses,Income
2170036122,4,100499552,72117552
2170037004,4,93152552,58857552
2170037008,8,183051000,127688000
2170037012,4,81794440,119964560
2170037015,3,116164000,117970000
2170038141,3,69461164,55143164
2170038146,4,48625552,57457552
2170039058,5,48379940,51752940
2170039061,7,241853640,166427600
2170039065,4,81173552,102417552
2170039068,6,182499920,216547080
2170040269,7,220458716,175086716
2170040272,1,21850388,21844388
2170040277,5,160636000,136962000
2170040281,6,161759940,133301940
2170041096,5,124234400,145031000
2170041100,4,157680000,140450000
2170041104,4,90507552,41477552
2170041108,3,66591164,63693164
2170042110,3,49690776,83888776
2170042111,6,165640160,203403840
2170042116,4,69807552,107717552
2170042119,5,71483940,103991940
2170042122,1,93708000,104398000
2170043159,7,166324716,141534716
2170043162,2,59704776,69278776
2170043165,1,20915388,17914388
2170043169,5,124651480,118776200
2170044251,5,268134588,222225460
2170044257,8,132240304,81535104
2170044260,4,161108400,117443600
2170044262,3,78675000,91610000
2170045016,2,41248776,30668776
2170046240,5,113664940,36971940
2170046243,5,109491740,60011940
2170046245,3,89961964,74925964
2170046249,3,65627364,27793164
2170046253,7,173290116,84750716
2170047126,4,41121552,36805552
2170048140,4,42751552,42057552
2170048147,1,23721388,20665388
2170048148,2,27390776,28068776
2170048152,5,53518640,50956640
2170049103,4,34012388,49362388
2170049111,4,57464552,44581552
2170049114,2,31899776,43914776
2170050161,5,53269940,49911940
2170050168,4,35640552,39217552
2170051150,5,82229940,99828940
2170051153,4,45206552,80157552
2170052005,5,62208940,86109940
2170052008,3,73762040,50623460
2170052012,4,69324552,76137552
2170052015,4,50542000,51060000
2170052018,5,62313940,89617940
2170053146,4,41410552,62873552
2170053150,4,32897552,59717552
2170053154,4,95680000,174868000
2170053157,4,35459552,57035552
2170054202,5,64758940,70438940
2170054203,4,77404552,67537552
2170054208,4,54763164,48113164
2170054211,4,43335552,35429552
2170054214,4,64412552,57041552
2170055145,5,70263552,67497552
2170055148,2,51288776,53048776
2170055155,9,141013492,123019492
2170056009,4,44087552,56869552
2170056013,3,29928164,91913164
2170057201,4,48389552,43807552
2170057203,4,45276552,73457552
2170057208,6,134874000,189090992
2170057210,5,41346940,63456940
2170058013,5,72955940,122071940
2170059005,5,59511940,132016940
2170060057,5,64732940,73047940
2170060058,4,64307552,63877552
2170060061,4,43748552,77165552
2170060066,4,51945552,71109552
2170061159,4,57510164,49063164
2170061160,5,119576944,68245000
2170061164,4,66892552,56467552
2170062250,3,58388776,93668776
2170062252,4,84509740,89753140
2170062256,4,54531752,38985552
2170062259,3,30856964,63223164
2170063303,5,62293940,35646940
2170063309,3,72797633,138416633
2170063310,5,46125940,43776940
2170064244,4,51124552,65547552
2170064247,2,25932776,22686776
2170064250,3,52173164,44113164
2170064253,5,63210940,92481940
2170065061,2,51212776,32290776
2170065062,2,29040776,19328776
2170066059,5,67887940,142371940
2170066061,5,64774940,84251940
2170066066,5,89075940,97371940
2170067202,5,198619188,129589588
2170067203,5,48519940,101283940
2170067208,2,41536776,40682776
2170067214,4,38684552,71053552
2170068009,3,48389164,72958164
2170068015,5,81185940,95236940
2170068018,3,66877164,50803164
2170069256,5,55328940,64140940
2170069268,2,35170776,44160776
2170070216,8,211901104,142435104
2170070220,5,78887000,169600000
2170070222,5,71424940,38851940
2170070230,5,128124200,133448000
2170071164,4,91822800,126132000
2170072113,5,75977940,84301940
2170073004,4,32735552,42685552
2170073010,5,155876000,101751000
2170073015,2,40174776,48808776
2170074160,3,43319164,51145164
2170074165,5,65716940,54901940
2170074171,1,25676388,15034388
2170075114,4,31340552,74757552
2170075117,5,56267940,95236940
2170075120,5,78522740,140220940
2170075125,5,50201940,71780940
2170075128,4,50459552,82077552
2170076256,1,15246388,24274388
2170076261,5,79484940,138751940
2170076265,5,41394940,93023940
2170077007,4,38752552,65233552
2170077012,3,26384164,38102164
2170077013,4,56292000,65346000
2170077016,4,42123552,66541552
2170078113,3,37366164,24423164
2170079229,7,143707600,150844000
2170079232,4,68413552,80377552
2170080250,4,61146552,73517552
2170080261,3,36715164,50593164
2170081100,4,42004552,68021552
2170082242,5,55725940,67171940
2170082246,1,24291388,13674388
2170082253,5,55278940,58671940
2170083147,4,58582552,75793552
2170083156,3,35416164,34129164
2170083157,4,39085552,68097552
2170084247,3,39768164,69523164
2170084252,2,36918776,65188776
2170085171,5,39629940,49922940
2170085174,5,46594400,63261400
2170085177,5,31172940,39780940
2170086164,4,52634552,83193552
2170086171,3,60409776,79204776
2170086173,4,75216552,58985552
2170086177,4,31539552,57673552
2170087056,3,69127164,39154164
2170087060,4,83403552,101587552
2170087063,4,32387552,56352552
2170087065,5,52937940,72026940
2170087070,3,66527164,71403164
2170088250,5,62369940,113171940
2170088253,5,78578940,77071940
2170088257,4,58292552,71097552
2170088262,4,55584552,77465552
2170089059,4,39819552,55437552
2170089067,6,171093776,157727776
2170090010,5,41980000,65863000
2170090013,4,47217552,66657552
